X,Y
0.725852000,21.76831800
0.511621000,20.91125700
0.879881000,20.75301600
0.989418000,20.19735700
0.367260000,19.89354500
0.911625000,23.53285000
0.357204000,21.63626300
0.431293000,22.87398000
0.334372000,22.01746400
0.213367000,20.56553500
0.600265000,22.11307700
0.016747000,22.65217400
0.261444000,20.76037000
0.190194000,20.65946600
0.255573000,20.40071900
0.432232000,20.73153300
0.764291000,21.43522300
0.803770000,23.72319800
0.379252000,20.58288600
0.365962000,20.42597000
0.454955000,19.98047400
0.195574000,21.83076900
0.317963000,21.51312100
0.565396000,21.91221400
0.153977000,23.86580800
0.318545000,20.93446900
0.423531000,20.40845500
0.985282000,20.61912300
0.443141000,21.66451600
0.867334000,22.75845000
0.135686000,21.26266700
0.178045000,20.23072800
0.542201000,19.73851200
0.299233000,19.85505100
0.620444000,20.00749200
0.358591000,21.64654700
0.650566000,20.08860200
0.933062000,21.21915200
0.264335000,22.27884500
0.449780000,21.23437300
0.917770000,21.33963400
0.407239000,21.03407700
0.157950000,20.71632000
0.641548000,20.79830600
0.958529000,21.25987800
0.785512000,19.67433000
0.109065000,20.19479400
0.822398000,21.40121100
0.238881000,22.20603000
0.846814000,22.11446200
0.607446000,21.51186900
0.970160000,21.01619100
0.875528000,20.24403600
0.694695000,21.10133000
0.285708000,22.68542100
0.949005000,22.33239000
0.690525000,22.54776000
0.386253000,20.34364500
0.363929000,20.99276900
0.496076000,18.57835400
0.196040000,20.69905100
0.387405000,20.75021600
0.199569000,20.05148100
0.699338000,21.95240400
0.210000000,19.37867500
0.915673000,21.09408800
0.153342000,20.72645800
0.618798000,21.59875100
0.292245000,22.31769600
0.608437000,21.63956500
0.639150000,21.02387000
0.305373000,19.32906500
0.326685000,22.16556000
0.718209000,20.05766100
0.463333000,21.18289800
0.186421000,21.38683300
0.562867000,20.99369800
0.381400000,18.22108500
0.658426000,19.28751200
0.391826000,19.54646900
0.919352000,21.52187000
0.992949000,21.16568200
0.683324000,22.54083100
0.385751000,19.92089800
0.637099000,20.57731400
0.036480000,21.72701500
0.742845000,21.50771000
0.858232000,22.40576000
0.984081000,22.05416300
0.822600000,21.89780600
0.619750000,20.07829700
0.590406000,20.73408500
0.119268000,20.91602300
0.206794000,19.35598400
0.024299000,19.69308500
0.933286000,22.51770400
0.810134000,20.41687200
0.722154000,20.23004700
0.819128000,20.63549400
0.894996000,20.51290900
0.821101000,21.47060400
0.371266000,19.74658600
0.577312000,20.65487700
0.925246000,22.28584900
0.157543000,20.28764700
0.511180000,20.66138500
0.911923000,22.06066700
0.249200000,18.69261200
0.146433000,20.91444200
0.546005000,20.64772000
0.764451000,21.01374100
0.664939000,22.58450900
0.591977000,21.97821600
0.064284000,18.65622100
0.930947000,23.20722800
0.358615000,21.81049900
0.415766000,20.28182200
0.241077000,20.07640500
0.185439000,20.25026300
0.606598000,22.19530100
0.434629000,21.20904900
0.502028000,22.33689300
0.773877000,20.54975300
0.074488000,19.73513800
0.834690000,22.64769200
0.705782000,21.34122800
0.213952000,18.37340500
0.831716000,22.07732800
0.324090000,21.21767600
0.219665000,21.46293800
