0.16605300,6.27202100
0.76734700,6.29855900
0.88170800,4.15560300
0.80878100,4.77111700
0.03207500,4.61221400
0.77359900,5.61067500
0.00928600,4.68184600
0.28414700,5.60623100
0.50207300,6.43265500
0.98385300,5.11261700
0.62564500,6.57912500
0.82261700,4.48153100
0.27729100,5.39295700
0.10292500,5.44858600
0.08097500,6.25758500
0.61281300,5.23565600
0.11763100,4.86727100
0.63845800,7.92949600
0.42760900,5.75027100
0.33207300,5.69361100
0.04033000,4.82209000
0.81243900,5.91245600
0.99548000,4.76532800
0.31470500,5.52512100
0.85063700,3.47988800
0.46494600,6.43715500
0.80824200,5.20952000
0.22043800,5.37626000
0.67323100,3.92791300
0.04395000,4.53476700
0.38797900,4.17030900
0.82997600,6.12202300
0.63997400,6.76783200
0.98942700,6.54113200
0.10390100,7.05380500
0.11759200,6.59458500
0.03517000,4.27682100
0.39512700,5.35499000
0.71125300,7.48456700
0.00561200,6.07776600
0.60165500,7.65339300
0.39643800,5.13733700
0.36551200,6.36924900
0.49566800,6.08751100
0.65083700,4.13873200
0.30575600,5.31783800
0.30298100,5.76148300
0.23418400,6.06510200
0.01488900,5.15424600
0.18230500,4.22964100
0.20062000,5.03590000
0.78808800,6.79598600
0.34114200,4.79102800
0.46941900,4.55385100
0.60135000,6.79131200
0.30390400,5.50883700
0.50200600,6.25736300
0.90859700,4.90664600
0.65463400,3.86252400
0.78467100,6.79656600
0.06403900,6.43181400
0.06030100,5.08744400
0.35665700,5.10367300
0.26300800,5.01536600
0.31399100,3.58709200
0.63371400,5.70668200
0.22399800,7.56355500
0.03245300,4.12558500
0.82453900,5.24938000
0.70789000,5.74793800
0.70488000,4.63238600
0.59484800,6.50991300
0.24936700,6.32680100
0.58581600,6.73909900
0.06947800,6.25081900
0.59131700,6.71156500
0.86227700,5.75679900
0.12320900,5.58197200
0.38030900,6.08000900
0.43026000,5.54369100
0.60304500,4.10809200
0.76078400,8.66832500
0.20125600,5.13271600
0.93080500,4.29416500
0.82063400,5.82429200
0.43774300,4.90665500
0.05315200,4.81585100
0.15413300,4.43284800
0.87595600,6.40438400
0.09223400,4.36611100
0.46565800,6.69384600
0.05612300,4.52007600
0.50268900,5.47364200
0.95162800,6.27652500
0.59766900,4.56030000
0.19909800,6.48899400
0.40158600,4.95909600
0.61453500,5.81934400
0.42702200,4.70760900
0.74680800,5.51285500
